0;0;0;0;0;0;0;0;0;0;;;
1;0,098;0,05;37,73;0,05;1,61;0,05;4,74;0,025;3,89;;;
2;0,197;0,1;49,82;0,1;2,343;0,1;8,07;0,05;7,44;;;
3;0,297;0,25;58,18;0,25;3,216;0,25;13,3;0,075;10,6;;;
4;0,397;0,5;61,71;0,5;3,526;0,5;15,7;0,1;13,46;;;
5;0,497;1;62,87;1;3,684;1;16,76;0,125;16,17;;;
6;0,596;2;65,27;2;3,845;2;17,91;0,15;18,51;;;
7;0,695;3;67,2;3;3,99;3;18,79;0,175;20,4;;;
8;0,795;4;69,08;4;4,11;3,5;19,66;0,2;22,17;;;
9;0,894;5;71,03;5;4,23;3,77;20,88;0,21;22,85;;;
10;0,994;6;72,99;6;4,4;;;0,22;23,46;;;
11;1,093;7;75,11;7;4,55;;;0,23;24,13;;;
12;1,192;8;77,35;8;4,71;;;0,238;24,51;;;
13;1,292;9;79,71;9;4,91;;;;;;;
14;1,392;10;82,29;10;5,1;;;;;;;
15;1,493;11;84,97;11;5,31;;;;;;;
16;1,592;12;87,79;12;5,53;;;;;;;
17;1,691;13;90,78;13;5,86;;;;;;;
18;1,791;14;93,92;14;6,14;;;;;;;
19;1,89;15;97,44;15;6,43;;;;;;;
20;1,989;16;101,25;16;6,76;;;;;;;
21;2,09;17;105,22;17;7,17;;;;;;;
22;2,188;18;109,38;17,38;7,5;;;;;;;
23;2,287;19;113,96;;;;;;;;;
24;2,387;20;118,66;;;;;;;;;
25;2,486;21;123,91;;;;;;;;;
;;22;129,51;;;;;;;;;
;;23;135,42;;;;;;;;;
;;24;141,73;;;;;;;;;
;;25;148,74;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
